"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"PPP1R1B",11935.8474588861,2.90476689873432,0.86387825022331,3.3624725451572,0.000772478072186706,0.00373018290806793,"PPP1R1B","Up"
"TP63",30815.1387283117,2.90446255681294,0.757160443858823,3.83599352075304,0.000125057704581071,0.000806539948990328,"TP63","Up"
"GBP5",2615.15666643536,2.901039579852,0.526971087899858,5.50512095723038,3.68914887869064e-08,6.9069699646239e-07,"GBP5","Up"
"KRT16P6",769.140546755562,2.89429972625088,0.816712165594313,3.54384304309307,0.000394339930736232,0.00211535039131186,"KRT16P6","Up"
"S100A12",1091.82649223803,2.88442465531156,0.706611218965342,4.08205329592005,4.46395563051982e-05,0.000337016575317897,"S100A12","Up"
"WFDC5",344.25976401897,2.88425717791566,0.803687538455659,3.58877927043383,0.00033222997688396,0.00183145434233631,"WFDC5","Up"
"LINC02086",439.584277877699,2.86628544794864,0.625616451478687,4.58153784347259,4.61569055777143e-06,4.83195949792783e-05,"LINC02086","Up"
"AC007991.2",12.6963343505321,2.86615369943992,0.829020910964219,3.45727551806425,0.000545666649574247,0.00278623257995384,"AC007991.2","Up"
"IGHG3",11408.4296919588,2.86605403939731,0.564374070895544,5.07828794269282,3.80851196158882e-07,5.50111656107837e-06,"IGHG3","Up"
"MELTF",3775.43895199287,2.86343991531223,0.381722706077413,7.50136124920881,6.31584618935325e-14,4.19714584495409e-12,"MELTF","Up"
"LINC02870",120.749450427568,2.85258888702285,0.470106104547681,6.06796818724043,1.29538555630439e-09,3.5446281693023e-08,"LINC02870","Up"
"GJA3",625.149453066414,2.84002258221252,0.565446396746057,5.02262035544986,5.09712358788758e-07,7.09685465321998e-06,"GJA3","Up"
"BLACAT1",833.444841151367,2.83832263706838,0.406361750039673,6.98471900170545,2.85426680856649e-12,1.37353072787834e-10,"BLACAT1","Up"
"TREM1",542.245617090799,2.83758275150953,0.488614105148897,5.80741063675357,6.34463952009342e-09,1.43880562716919e-07,"TREM1","Up"
"H2BC9",303.214275838125,2.83623703644995,0.377816478543367,7.50691724030878,6.05359703786253e-14,4.03766020076845e-12,"H2BC9","Up"
"HEPHL1",1942.91317772934,2.83572729186683,0.670538358969593,4.22903067950423,2.34700342126019e-05,0.000193983307829168,"HEPHL1","Up"
"SNORD65C",2.88341246518244,2.83024957566024,0.740351418954875,3.82284615548599,0.000131920093144607,0.000844564603973845,"SNORD65C","Up"
